種別,ID,名称,区分,並び,使う
作業,W001,席外し,休憩,1,1
作業,W009,昼休憩,休憩,2,1
作業,W002,バスルーム,休憩,3,1
作業,W003,保守作業,作業,10,1
作業,W004,GEaRミーティング,作業,20,1
作業,W005,ツールミーティング,作業,30,1
作業,W008,ツール開発,作業,40,1
作業,W022,学習,作業,50,1
作業,W006,SMILeRPA,作業,60,1
作業,W007,リファクタリング,作業,70,1
作業,W010,コーディング,作業,100,1
作業,W011,ドキュメント,作業,110,1
作業,W012,単体テスト,作業,120,1
作業,W013,結合テスト１,作業,130,1
作業,W014,結合テスト２,作業,140,1
作業,W015,システムテスト,作業,150,1
作業,W016,移行テスト,作業,160,1
作業,W017,運用テスト,作業,170,1
作業,W018,構想,作業,180,1
作業,W019,依頼,作業,190,1
作業,W020,調査,作業,200,1
作業,W021,検討,作業,210,1
ターゲット,T001,Langaku,,1,1
ターゲット,T002,mikan,,2,1
ターゲット,T003,VisionQuest,,3,1
